customer_id,first_name,surname,email,status
1,Ruben,Ruiz,woodwardbrian@example.org,archived
2,Kelly,May,michael48@example.net,active
3,Gregory,Scott,efarmer@example.com,archived
4,Charles,Watson,dawn09@example.org,suspended
5,Joseph,Porter,nrobinson@example.com,archived
6,Sharon,Bennett,johnbrowning@example.org,suspended
7,Jennifer,Marsh,erinibarra@example.com,suspended
8,Summer,Scott,njones@example.com,suspended
9,David,Grant,kaylaharper@example.org,suspended
10,Laurie,Green,carolthomas@example.org,archived
11,Nicholas,Odom,jordansanchez@example.net,archived
12,Mary,Hoffman,garybailey@example.net,suspended
13,Jason,Zhang,kenneth28@example.net,suspended
14,Melissa,Brandt,nicoleramos@example.com,active
15,John,Green,rmalone@example.com,archived
16,John,Chavez,stephenrogers@example.com,active
17,Cassandra,George,bleblanc@example.org,active
18,Betty,Erickson,haydengregory@example.com,active
19,Jacob,Rogers,melissajones@example.net,archived
20,Jeffrey,Marks,amber41@example.org,archived
21,Benjamin,Moore,laura14@example.com,archived
22,Teresa,Ellis,brittanyanderson@example.org,active
23,James,Riddle,melanie26@example.org,suspended
24,Benjamin,Hogan,crodriguez@example.com,active
25,Kathy,Lee,peter00@example.org,suspended
26,Tyler,Gardner,kristaanderson@example.org,active
27,Richard,Sexton,hayesrichard@example.com,active
28,Howard,Curtis,howardjames@example.net,suspended
29,Felicia,Moore,brittneygreer@example.com,archived
30,Brandy,Garcia,justinjohnson@example.com,archived
31,Susan,Harrison,russellstephanie@example.net,suspended
32,Jeremy,Thompson,brownrussell@example.com,archived
33,Alicia,Reese,jeffery42@example.org,suspended
34,Maria,Hamilton,anthony66@example.net,archived
35,Katherine,Lee,ygonzalez@example.org,archived
36,Rachel,Leon,ngraham@example.net,suspended
37,Philip,Neal,adamcook@example.net,archived
38,Charles,Frank,kaitlynsanders@example.org,active
39,Megan,Price,timothysmith@example.org,suspended
40,John,Lopez,timothy64@example.net,archived
41,Dustin,Pierce,barbara01@example.net,archived
42,Megan,Jackson,rileyphilip@example.org,archived
43,Lisa,Adams,lbradshaw@example.com,archived
44,Jacqueline,Rowland,whall@example.org,active
45,Sarah,Cooper,ohoward@example.net,active
46,Stephanie,Austin,tammy88@example.org,suspended
47,Stephen,Castro,rnguyen@example.net,suspended
48,Jessica,Lee,jonesdonna@example.com,active
49,Lori,Stokes,amanda22@example.org,active
50,Jerry,Roach,michael75@example.net,archived
